sample_idx,real,closest,TP,FP,precision,recall
108451,0,0,0,1,0.0,0.0
77878,0,0,0,2,0.0,0.0
34487,0,0,0,3,0.0,0.0
74225,0,0,0,4,0.0,0.0
88302,0,0,0,5,0.0,0.0
55813,0,0,0,6,0.0,0.0
71661,0,0,0,7,0.0,0.0
60835,0,0,0,8,0.0,0.0
4145,0,0,0,9,0.0,0.0
9605,0,0,0,10,0.0,0.0
32366,0,0,0,11,0.0,0.0
13488,0,0,0,12,0.0,0.0
95976,0,0,0,13,0.0,0.0
135132,1,2,0,14,0.0,0.0
146821,1,2,0,15,0.0,0.0
133502,1,2,0,16,0.0,0.0
146659,1,2,0,17,0.0,0.0
152810,1,2,0,18,0.0,0.0
3203,0,0,0,19,0.0,0.0
115915,0,0,0,20,0.0,0.0
14129,0,0,0,21,0.0,0.0
17613,0,0,0,22,0.0,0.0
89476,0,0,0,23,0.0,0.0
24557,0,0,0,24,0.0,0.0
39021,0,0,0,25,0.0,0.0
77416,0,0,0,26,0.0,0.0
140271,1,2,0,27,0.0,0.0
145939,1,2,0,28,0.0,0.0
128548,1,2,0,29,0.0,0.0
143296,1,2,0,30,0.0,0.0
147636,1,2,0,31,0.0,0.0
139016,1,2,0,32,0.0,0.0
132949,1,2,0,33,0.0,0.0
147262,1,2,0,34,0.0,0.0
128337,1,2,0,35,0.0,0.0
135838,1,2,0,36,0.0,0.0
87519,0,0,0,37,0.0,0.0
33423,0,0,0,38,0.0,0.0
43387,0,0,0,39,0.0,0.0
104033,0,0,0,40,0.0,0.0
92118,0,0,0,41,0.0,0.0
85040,0,0,0,42,0.0,0.0
19964,0,0,0,43,0.0,0.0
104347,0,0,0,44,0.0,0.0
54909,0,0,0,45,0.0,0.0
96365,0,0,0,46,0.0,0.0
75778,0,0,0,47,0.0,0.0
39680,0,0,0,48,0.0,0.0
88600,0,0,0,49,0.0,0.0
47169,0,0,0,50,0.0,0.0
36837,0,0,0,51,0.0,0.0
83053,0,0,0,52,0.0,0.0
77578,0,0,0,53,0.0,0.0
1670,0,0,0,54,0.0,0.0
156656,1,1,0,55,0.0,0.0
135625,1,1,0,56,0.0,0.0
149409,1,1,0,57,0.0,0.0
129775,1,1,0,58,0.0,0.0
156773,1,1,0,59,0.0,0.0
145712,1,1,0,60,0.0,0.0
145617,1,1,0,61,0.0,0.0
149006,1,1,0,62,0.0,0.0
130454,1,1,0,63,0.0,0.0
161725,2,2,0,64,0.0,0.0
162222,2,2,0,65,0.0,0.0
161853,2,2,0,66,0.0,0.0
38337,0,0,0,67,0.0,0.0
94367,0,0,0,68,0.0,0.0
47694,0,0,0,69,0.0,0.0
161967,2,2,0,70,0.0,0.0
76458,0,0,0,71,0.0,0.0
23949,0,0,0,72,0.0,0.0
92286,0,0,0,73,0.0,0.0
161768,2,2,0,74,0.0,0.0
161682,2,2,0,75,0.0,0.0
162128,2,2,0,76,0.0,0.0
161955,2,2,0,77,0.0,0.0
161624,2,2,0,78,0.0,0.0
162080,2,2,0,79,0.0,0.0
161791,2,2,0,80,0.0,0.0
161706,2,2,0,81,0.0,0.0
162228,2,2,0,82,0.0,0.0
91507,0,0,0,83,0.0,0.0
161778,2,2,0,84,0.0,0.0
162212,2,2,0,85,0.0,0.0
162210,2,2,0,86,0.0,0.0
161741,2,2,0,87,0.0,0.0
162013,2,2,0,88,0.0,0.0
162356,2,2,0,89,0.0,0.0
161659,2,2,0,90,0.0,0.0
161586,2,2,0,91,0.0,0.0
161879,2,2,0,92,0.0,0.0
162117,2,2,0,93,0.0,0.0
162004,2,2,0,94,0.0,0.0
162338,2,2,0,95,0.0,0.0
161655,2,2,0,96,0.0,0.0
161945,2,2,0,97,0.0,0.0
162069,2,2,0,98,0.0,0.0
162187,2,2,0,99,0.0,0.0
161601,2,2,0,100,0.0,0.0
161614,2,2,0,101,0.0,0.0
161827,2,2,0,102,0.0,0.0
162350,2,2,0,103,0.0,0.0
161962,2,2,0,104,0.0,0.0
162176,2,2,0,105,0.0,0.0
42662,0,0,0,106,0.0,0.0
162164,2,2,0,107,0.0,0.0
161806,2,2,0,108,0.0,0.0
162357,2,2,0,109,0.0,0.0
161695,2,2,0,110,0.0,0.0
162151,2,2,0,111,0.0,0.0
161995,2,2,0,112,0.0,0.0
17996,0,0,0,113,0.0,0.0
162325,2,2,0,114,0.0,0.0
162044,2,2,0,115,0.0,0.0
162102,2,2,0,116,0.0,0.0
161919,2,2,0,117,0.0,0.0
161661,2,2,0,118,0.0,0.0
39417,0,0,0,119,0.0,0.0
162034,2,2,0,120,0.0,0.0
161852,2,2,0,121,0.0,0.0
161597,2,2,0,122,0.0,0.0
161665,2,2,0,123,0.0,0.0
151314,1,1,0,124,0.0,0.0
129343,1,1,0,125,0.0,0.0
161573,2,2,0,126,0.0,0.0
161825,2,2,0,127,0.0,0.0
162074,2,2,0,128,0.0,0.0
161994,2,2,0,129,0.0,0.0
162094,2,2,0,130,0.0,0.0
161609,2,2,0,131,0.0,0.0
162211,2,2,0,132,0.0,0.0
162320,2,2,0,133,0.0,0.0
161730,2,2,0,134,0.0,0.0
101106,0,0,0,135,0.0,0.0
161775,2,2,0,136,0.0,0.0
161857,2,2,0,137,0.0,0.0
161975,2,2,0,138,0.0,0.0
161644,2,2,0,139,0.0,0.0
162127,2,2,0,140,0.0,0.0
161783,2,2,0,141,0.0,0.0
